Source,Date,Title,Authors,Text,Keywords
cbs,,Family Ties Video,[],Not With My Sister You Don't Aired 09/29/82 22:00 EST,"['2200', 'aired', 'est', 'dont', 'family', 'sister', '092982', 'video', 'ties']"
cbs,,Big Brother Video,[],"Big Brother - Episode 8

The new HOH chooses two people for eviction and the house is divided between two big alliances. (TV-PG L )","['episode', 'house', 'big', 'divided', 'brother', 'hoh', 'l', 'eviction', 'video', 'chooses', 'tvpg']"
cbs,,What happens when a former hard-charging prosecutor is prosecuted for his wife's murder in his old courtroom?,[],"What Did the Children See?

What happens when a former hard-charging prosecutor is prosecuted for his wife's murder in his old courtroom? ""48 Hours""' Maureen Maher investigates. | Read story","['happens', 'murder', 'old', 'maher', 'read', 'hardcharging', 'seewhat', 'courtroom', 'prosecuted', 'maureen', 'investigates', 'prosecutor', 'wifes']"
cbs,,Undercover Boss Video,[],"Undercover Boss - 4 Wheel Parts

Greg Adler, President and CEO of 4 Wheel Parts, the global leader in truck, Jeep, SUV and off-road tires, wheels, lift kits and accessories, goes undercover to meet the employees who keep his company on the right track. (TV-PG)","['wheel', 'right', 'track', 'tvpg', 'boss', 'tires', 'suv', 'video', 'president', 'truck', 'wheels', 'undercover']"
cbs,,CSI: Cyber Video,[],"CSI: Cyber - Fit-And-Run

When a jogger's body is found, the Cyber team use the fitness tracker she was wearing at the time of the murder to retrace her steps for the entire night leading up to her death. (TV-14 L, V)","['wearing', 'murder', 'csi', 'retrace', 'night', 'cyber', 'tracker', 'video', 'v', 'steps', 'team', 'tv14']"
cbs,,Wings Video,[],"Wings - Legacy

Estranged brothers Joe and Brian Hackett end a family feud and join forces to run a small commuter airline on the island of Nantucket.","['join', 'island', 'legacyestranged', 'nantucket', 'hackett', 'video', 'joe', 'forces', 'small', 'run', 'wings']"
cbs,,The Price Is Right Video,[],The Price is Right Ever Wonder What It's Like To Win An Aston Martin? Aired 02/15/16 18:00 EST,"['aston', 'right', '1800', 'win', 'price', 'aired', '021516', 'video', 'est', 'martin', 'wonder']"
cbs,,- CBS.com,[],Selected video is not available. Check out the related video below instead.,"['available', 'selected', 'related', 'video', 'instead', 'cbscom', 'check']"
cbs,,Hawaii Five-0 Video,[],"Hawaii Five-O - Full Fathom Five

Steve McGarrett is assigned by the governor of Hawaii to break up a confidence racket that is bilking rich visiting widows of their fortunes. (TV-PG)","['five0', 'visiting', 'tvpg', 'fivesteve', 'hawaii', 'governor', 'mcgarrett', 'fortunes', 'video', 'rich', 'racket', 'widows']"
cbs,,Blue Bloods Video,[],"Blue Bloods - Fresh Start

Erin is overwhelmed with guilt after a man she set free is accused of killing a cop. Also, Frank and Mayor Poole continue their game of political chicken over Frank's reappointment as commissioner, and Danny and Maria investigate a case of a cop who has gone AWOL. (TV-14 L, V)","['blue', 'starterin', 'overwhelmed', 'set', 'bloods', 'cop', 'reappointment', 'political', 'poole', 'tv14', 'video', 'v', 'mayor']"
cbs,,Super Bowl 50 Commercials Video,[],Which CBS Star Should Be At Your Party?,"['star', 'commercials', 'bowl', '50', 'cbs', 'video', 'party', 'super']"
cbs,,The Talk Video,[],"02/20 Trump projected to take S.C. primary, Clinton projected to win Nevada caucuses; Cyclist uses app to make city his canvas Aired 02/20/16 18:30 EST","['cyclist', 'est', 'clinton', 'trump', 'win', 'projected', 'primary', 'video', 'sc', 'uses', 'nevada', 'talk']"
cbs,,NCIS Video,[],"NCIS - React

When Secretary of the Navy Sarah Porter (Leslie Hope) learns her daughter has been kidnapped, the NCIS team partners with the FBI to track the case, determine a motive and bring her home. Also, McGee's childhood friend, NCIS Special Agent Valerie Page (Christina Chang), is in town to assist the team with advance tactics training. Joe Spano returns as Senior FBI Agent T.C. Fornell. (TV-14 L, V)","['town', 'ncis', 'training', 'valerie', 'track', 'team', 'agent', 'video', 'v', 'fbi', 'tv14']"
cbs,,Caroline in the City Video,[],"Caroline In The City - Pilot

In this series premiere, Caroline breaks up with her boyfriend, and is infuriated when she finds out that her ex plans to bring the date to atheira? restaurant.","['city', 'plans', 'restaurant', 'series', 'infuriated', 'video', 'ex', 'premiere', 'date', 'caroline', 'pilotin', 'finds']"
cbs,,404 Page Not Found,[],"404: SORRY, THIS PAGE DOESN'T EXIST

You will shortly be redirected to our Watch page. If you are not automatically re-directed please click here.","['shortly', 'watch', 'existyou', 'click', '404', 'doesnt', 'redirected', 'sorry', 'page', 'automatically']"
cbs,,The Crazy Ones- Watch Full Episodes & Video Clips,[],Selected video is not available. Check out the related video below instead.,"['available', 'crazy', 'selected', 'watch', 'related', 'clips', 'episodes', 'ones', 'video', 'instead', 'check']"
cbs,,Watch Full Episodes & Video Clips,[],"02/20 Trump projected to take S.C. primary, Clinton projected to win Nevada caucuses; Cyclist uses app to make city his canvas Aired 02/20/16 18:30 EST","['cyclist', 'est', 'clinton', 'trump', 'win', 'watch', 'projected', 'primary', 'clips', 'episodes', 'video', 'sc', 'uses', 'nevada']"
