"","Source","Date","Title","Authors","Text","Keywords"
"26","foxnews","","Rep. Gowdy: Natural for Jeb supporters to choose Marco","[]","","[]"
"27","foxnews","2016-02-19 00:00:00","More mumps cases found among Indiana college students","[]","Butler University in Indianapolis is requiring all students and employees to receive booster shots against mumps as it says nine students have been diagnosed with the disease.

Officials said Friday that four mumps cases have also been confirmed on the Indiana University campus in Bloomington and one at Indiana University-Purdue University Indianapolis.

A Butler spokesman says the ill students have been isolated and won't return to campus activities until they've recovered. Butler and IU both reported their first cases last week.

The state health department says the Butler and IU outbreaks don't appear connected.

Mumps symptoms include fever, headache, muscle aches and swollen and tender salivary glands. The virus can be spread it by coughing, sneezing, talking and other means.","[]"
"28","foxnews","2016-02-21 00:00:00","Is Trump Questioning Rubio's Eligibility?","[]","By Eliza Collins, Politico



Donald Trump is now raising questions about Marco Rubios ability to legally run for president.

On Saturday, Trump retweeted a tweet that suggested the Florida senator was not a citizen, George Stephanopoulos asked him about it on ABCs This Week Sunday morning.","[]"
"29","foxnews","2016-02-19 00:00:00","Josephine Skriver named newest Victoria's Secret Angel, celebrates on Instagram","[]","Congrats, Josephine Skriver!

The 22-year-old Danish model was named Victoria's Secret's newest Angel, it was announced Friday.

Click here to subscribe to FOX411s YouTube channel

Skriver could hardly contain her excitement on Instagram, writing, ""It's has happened!! I'm literally living my dream right now! Can't believe I get to share with you today that I'm #NewestAngel for @victoriassecret thanks to everyone that has helped to get me here! So humble and proud to be apart of such an amazing legacy!! THAAAAANK YOU from the bottom of my heart to everyone who believed in me!!""

WATCH: Kendall Jenner, Selena Gomez, Behati Prinsloo Freak Out Ahead of Victorias Secret Fashion Show

""So overwhelmed with every happy emotion right now! I don't even know how to be in my own body! It still feels so insane the day is finally here,"" she wrote in another post. ""Thank you so much to the incredible team of @victoriassecret @ed_razek @nikibaratta @michellepriano and all the rest! Thank you for making me part of the VS Family!!! Flying on happiness right now!""

Josephine Skriver is a stunning young woman and a delightful person,"" Ed Razek, the brand's Chief Marketing Officer said in a statement. ""She is so special and we are enormously happy to welcome her to the most exclusive club in the history of modeling, The Victorias Secret Angels.

Skriver has worked with Victoria's Secret for the past few years and walked in the 2015 Victorias Secret Fashion Show. She was recently featured cover of the swim catalogue.

It seems that Skriver has already been getting to know her co-Angels! She shared a pic from a Super Bowl viewing party with several Victorias Secret models, writing, ""It's super bowl time with my angels.""

WATCH: Victoria's Secret Announces Full Lineup for Fashion Show! See How Gigi Hadid & the Other Lovely Ladies Were Cast","[]"
"30","foxnews","2016-02-21 00:00:00","Tunisia extends state of emergency for another month","[]","Tunisia's president has extended for a month the state of emergency that has been in place since an Islamic State-linked suicide bombing in the country's capital in November left 12 people dead.

The decision to prolong the state of emergency was made Sunday by President Beji Caid Essebsi, a government spokesman told the state news agency TAP. The move gives the government emergency powers to forbid strikes and gathering that could cause disturbances, as well as powers over the media.

The decision comes two days after a U.S. strike on an Islamic State training camp in neighboring Libya that killed a senior extremist leader who is believe to be a Tunisian.","[]"
"31","foxnews","2014-05-05 00:00:00","Demystifying flying: What is an air pocket?","['Tom Bunn']","If youve been a passenger in an airplane, its likely that you have felt an air pocket, or what feels like a quick drop in the air.

""Air pocket"" is merely another term for ordinary turbulence. You might feel as if you're falling from the sky, but rest assured, if you flying commercially, you rarely gain or lose more than about twenty feet, especially if the plane is on autopilot.

The term ""air pocket"" comes from early aviation, a time when pilots flying open-cockpit biplanes took adventurous locals on a rides in their flying machines. These planes, with two wings one above the other, flew at relatively slow speeds. When the plane entered air that, instead of simply sitting there, was flowing slightly upward or slightly downward, the plane's path was altered slightly upward or slightly downward. Air pockets do not technically exist, yet it's an expression that has caught on and is still misused today.

So what happens when you experience a bumpy ride that rattles glasses and turns some knuckles white?

The first thing you need to understand is a basic rule of flying: the earth has different surface temperatures that impacts flight as the aircraft passes through. For example, the surface of a lake is cooler than the surrounding earth, or plowed fields have a different surface temperature than those that are unplowed. Warm air is lighter than cool air. Warmed air rises. Cooled air descends. When a plane encounters varying airflow, we can feel what we call an air pocket today.

The idea of an ""air pocket"" might seem reassuring from a pilot's point of view, for a pocket is something you slip your hand into. When you do, your hand can only go so far. But, over the years, the phrase has come to be thought of as an area where there is no air. With no air, what is going to hold the plane up?

The term, if misunderstood, can lead to fear that an ""air pocket"" - a place devoid of air - could be big enough to cause a plane to plunge to the earth or go out of control. But it doesn't exist.

It may be helpful to try to imagine a ""water pocket,"" an area in a lake where there is no water. You can't, right? Since you can see water, it is hard to conceive of such a thing as a water pocket.

One analogy that is helpful to my clients is picturing the sky as one large bowl of Jello. Imagine that large bowl of chilled Jello with a small, plastic airplane in the middle. Now, pick up the bowl and shake it. The airplane certainly moves and jiggles, but it is impossible for the small plastic toy to fall out of the bowl (the sky).

Flying through an ""air pocket"" isn't much different from driving your car over a pot hole or steering a boat over waves. It may be bumpy, but you're rarely in danger --that is unless you're not wearing a seat belt.

Captain Tom Bunn, retired airline pilot and licensed therapist, is the founder of SOAR, a program designed to help those with fear of flying and flight-related anxieties.","[]"
"32","foxnews","2016-02-21 00:00:00","Querrey knocks Del Potro out of tournament in Delray Beach","[]","American Sam Querrey beat Argentina's Juan Martin del Potro 7-5, 7-5 in the semifinals of the Delray Beach Open, ending the former U.S. Open champ's run at his first event on the comeback trail.

Del Potro, who has undergone three surgeries on his left wrist and one on his right wrist, had been out of action since the Miami Masters in March 2015.

Querrey dictated the pace on Saturday night and was able to pull off the win in a close match, breaking Del Potro on two of his three break opportunities.

The Argentine never had a chance to break Querrey, who will play countryman Rajeev Ram in Sunday's final.

Ram, the world No. 89, beat Bulgaria's Grigor Dimitrov, the No. 4 seed, 6-4, 6-3 in the semifinals.

The 27-year-old Del Potro, a former world No. 4 whose ranking has tumbled to No. 1,042 because of the injury hiatus, entered the event as a wildcard.

Del Potro became the first and only Latin American man to win a hard-court Grand Slam singles title when he upset Swiss great Roger Federer in the 2009 U.S. Open final. EFE","[]"
"33","foxnews","","Live Blog: On The Campaign Trail","[]","This material may not be published, broadcast, rewritten, or redistributed. 2016 FOX News Network, LLC. All rights reserved. All market data delayed 20 minutes. Privacy - Terms - FAQ","[]"
"34","foxnews","","Asteroid blaster: Russia wants to nuke meteorites","[]","","[]"
"35","foxnews","","Congressman: Humanitarian concerns, security not exclusive","[]","","[]"
