Source,Date,Title,Authors,Text,Keywords
msnbc,,Lockup Extended Stay: Sacramento  The Force LaForce  Spiders,"['Morning Joe', 'All In With Chris Hayes', 'Msnbc Live With Thomas Roberts', 'Weekends With Alex Witt', 'The Rachel Maddow Show', 'Msnbc Live With Tamron Hall', 'Msnbc Live']","The so-called Spiderman of the Sacramento County jail shows our Lockup field team how he fashions crawling creatures out of toilet paper, a hairnet and even a bit of coffee.

... more

Duration: {{video.duration.momentjs}}","['lockup', 'toilet', 'extended', 'force', 'spiderman', 'sacramento', 'moreduration', 'stay', 'videodurationmomentjs', 'paper', 'spiders', 'team', 'laforce', 'shows', 'socalled']"
msnbc,,Secy. Albright: I didnt mean to insult women,"['All In With Chris Hayes', 'Andrea Mitchell Reports', 'Msnbc Live With Thomas Roberts', 'Msnbc Live', 'Weekends With Alex Witt', 'The Rachel Maddow Show', 'Msnbc Live With Tamron Hall', 'Morning Joe']","Former Secretary of State Madeleine Albright joins NBCs Andrea Mitchell to discuss her support for Hillary Clinton and her statement regarding women who dont support Hillary Clinton. Secretary Albright also discusses her recent trip to the Middle East.

... more

Duration: {{video.duration.momentjs}}","['clinton', 'support', 'secretary', 'state', 'insult', 'videodurationmomentjs', 'hillary', 'statement', 'albright', 'secy', 'mean', 'didnt', 'trip', 'women']"
msnbc,,Super Tuesday looms large for Democratic candidates,"['All In With Chris Hayes', 'Andrea Mitchell Reports', 'Msnbc Live With Thomas Roberts', 'Msnbc Live', 'Weekends With Alex Witt', 'The Rachel Maddow Show', 'Msnbc Live With Tamron Hall', 'Morning Joe']","Whats at stake on Super Tuesday? Almost 900 delegates from eleven states, but the biggest prizes are all places where Hillary Clinton is favored. The Washington Posts Chris Cillizza and Ruth Marcus debate where Bernie Sanders can take the lead on that day.

... more

Duration: {{video.duration.momentjs}}","['sanders', 'looms', 'whats', 'posts', 'stake', 'washington', 'large', 'videodurationmomentjs', 'states', 'candidates', 'prizes', 'democratic', 'super', 'ruth']"
msnbc,,Sexy small biz: A booming boudoir business,"['All In With Chris Hayes', 'Your Business', 'Msnbc Live With Thomas Roberts', 'Msnbc Live', 'Weekends With Alex Witt', 'The Rachel Maddow Show', 'Msnbc Live With Tamron Hall', 'Morning Joe']","Some sexy pictures on Valentines Day is one way to spice things up. A self-taught photographer got into the boudoir business just before the trend took off. She carved out a niche for herself, is now an expert in her field, and expanded her business to start teaching her trade.

... more

Duration: {{video.duration.momentjs}}","['booming', 'business', 'boudoir', 'trend', 'things', 'valentines', 'took', 'trade', 'videodurationmomentjs', 'biz', 'way', 'teaching', 'small', 'sexy', 'start']"
msnbc,2016-02-19 13:36:00,Army reservist sues 'Muslim free' gun range after allegedly being asked to leave,['Chris Fuchs'],"A U.S. Army reservist is suing the owners of a gun shop and range in Oklahoma who allegedly asked him to leave after he told them he was Muslim.

The lawsuit, filed Wednesday in U.S. District Court for the Eastern District of Oklahoma, accuses Chad and Nicole Neal of violating the Civil Rights Act and Oklahomas anti-discrimination laws for refusing to allow Rajaee Fatihah to use their gun range last October because of his religion. At the time, the Neals business, Save Yourself Survival and Tactical Gun Range in Muskogee County, reportedly had a sign outside saying it was a Muslim-free business, according to the lawsuit.

For an establishment to ban someone based on their religion isnt just reprehensible  its against the law, Veronica Laizure, civil rights director for the Oklahoma chapter of the Council on American-Islamic Relations, said in a statement. We hope that these owners and others around the country will comply with civil rights law and stop refusing service to customers in this manner.

RELATED: Jeb Bush tweeted a photo of a gun, because America

The Oklahoma chapter of the Council on American-Islamic Relations (CAIR), of which Tulsa-native Fatihah is a board member, filed the lawsuit along with the American Civil Liberties Union in Oklahoma and the national ACLU.

Last year, CAIR brought a similar complaint against Florida gun store owner Andy Hallinan, but a federal judge dismissed it in November, saying the organization did not prove its members were harmed by the stores policy.

Robert J. Muise, senior counsel of the American Freedom Law Center, which represented Hallinan and now the Neals, told NBC News in a statement Thursday that the center hasnt had a chance to review the lawsuit in detail because the Neals had not yet been served, but added that such litigation weakens local and national security.

Not only do our clients have a right to refuse to serve someone they believe to be a public safety risk, they have an obligation to their other customers, employees, and the community to do so, Muise said.

Muise told the Guardian Wednesday that the Muslim-free sign outside the Neals business is protected free speech, and that Fatihah was asked to leave not because of his religion but because he was belligerent, an accusation Fatihah denied.

The only thing the law prohibits is if somebody denies services strictly on the basis of religion, and that didnt happen here, Muise told The Guardian.

RELATED: Eight shot dead: 2016 sees year-over-year spike in cops killed by gunfire

According to Fatihahs lawsuit, Nicole Neal asked Fatihah to fill out a liability waiver when he asked to use the range on Oct. 23. After signing it, Fatihah told Nicole Neal he was a Muslim, prompting her to summon her husband, the lawsuit alleges. The Neals then allegedly armed themselves with handguns and asked Fatihah, who enjoys recreational shooting and wanted to practice, if he had come to the gun range to commit an act of violence or as part of a jihad, according to the lawsuit. Fatihah was then asked to leave, he alleges.

Fatihah, who works as an investigator for the state of Oklahoma, is asking the court to order the Neals to comply with the Civil Rights Act and Oklahoma common law and is seeking monetary damages for mental and emotional distress.

This article first appeared on NBCNews.com. Follow NBC Asian America on Facebook, Twitter, Instagram, and Tumblr.","['leave', 'allegedly', 'army', 'civil', 'oklahoma', 'muslim', 'gun', 'free', 'reservist', 'range', 'sues', 'neals', 'fatihah', 'law', 'lawsuit', 'asked', 'told']"
msnbc,,White House press briefing,"['Morning Joe', 'All In With Chris Hayes', 'Msnbc Live With Thomas Roberts', 'Weekends With Alex Witt', 'The Rachel Maddow Show', 'Msnbc Live With Tamron Hall', 'Msnbc Live']","White House Press Secretary Josh Earnest is joined by various states' respective Governors to address reporters at the daily White House Press Briefing.

... more

Duration: {{video.duration.momentjs}}","['respective', 'videodurationmomentjs', 'house', 'moreduration', 'states', 'briefing', 'various', 'reporters', 'press', 'white', 'secretary']"
msnbc,,"Morning Joe Mix: Monday, February 22","['All In With Chris Hayes', 'Andrea Mitchell Reports', 'Msnbc Live With Thomas Roberts', 'Msnbc Live', 'Weekends With Alex Witt', 'The Rachel Maddow Show', 'Msnbc Live With Tamron Hall', 'Morning Joe']","Morning Joe Mix: A recap of the day's big news and interviews with Rep. Kevin McCarthy.

... more

Duration: {{video.duration.momentjs}}","['22', 'videodurationmomentjs', 'rep', 'morning', 'mix', 'joe', 'moreduration', 'recap', 'mccarthy', 'interviews', 'kevin']"
msnbc,2016-02-22 11:20:00,Ohio's Kasich slashes Planned Parenthood funding,[],"As the field of Republican presidential candidate shrinks to just five people, John Kasich has adopted a rather specific posture: hes the grown-up in the room. The rest of the field includes two first-term senators and two political amateurs, leaving the Ohio governor as the only candidate stressing qualities such as executive experience, governing skills, and pragmatism.

And that makes perfect sense given the circumstances. Kasich cant be as right-wing as his rivals; he cant be as unhinged as his rivals; and he certainly cant avoid the career politician label. Looking for an opening, the Republican governor has decided to present himself as a more mainstream, and more electable, conservative.

In the five-person GOP field, that leaves Kasich as the last option for the partys remaining moderate voters. But lets not mistake perceptions for reality. As we were reminded over the weekend, the Ohio Republican may be playing the role of 2016 pragmatist, but that doesnt make him an actual moderate

Republican presidential hopeful and Ohio Gov. John Kasich on Sunday signed a bill that aims to strip funding from Planned Parenthood in the state. [...] After Kasich came in a strong second place in the New Hampshire primary, the Republican assembly in Ohio passed legislation that targets about $1.3 million in funding for Planned Parenthood in the state. That money helps support screenings for breast cancer, STD testing, programs working to prevent violence against women, and more.

Remember, were not talking about public funding of abortions, which is already largely prohibited. Rather, state lawmakers passed a measure to block any entity that performs or promotes nontherapeutic abortions from receiving funds for womens health treatments that have nothing to do with terminating pregnancies.

And Kasich, eager to curry favor with his partys far-right base, eagerly signed the bill into law.

The NBC affiliate in Columbus reported that Planned Parenthoods work in Ohio will continue, but its community health programs would be cut. The group says programs targeted in the bill helped Planned Parenthood in the last year to provide more than 47,000 STD tests and 3,600 HIV tests to Ohioans, serve nearly 2,800 new or expectant mothers, and inform young people and women about healthy relationships.

In other words, in practical terms, John Kasich decided to slash services for thousands of Ohio women, for no substantive reason, with a simple stroke of his pen. The public will pay a steep price because the governor wants to advance his ambitions.

This is what passes for moderation among GOP presidential candidates in 2016.","['slashes', 'ohios', 'john', 'funding', 'programs', 'parenthood', 'state', 'planned', 'kasich', 'ohio', 'republican', 'presidential', 'women']"
msnbc,,Sanders believes healthcare 'is a right',"['Morning Joe', 'All In With Chris Hayes', 'Msnbc Live With Thomas Roberts', 'Weekends With Alex Witt', 'The Rachel Maddow Show', 'Msnbc Live With Tamron Hall', 'Msnbc Live']","NBC's Chuck Todd challenges Bernie Sanders for supporting universal healthcare systems such as those in Canada and the Scandinavian countries. Sanders defends his views and maintains that healthcare is a right for all citizens.

... more

Duration: {{video.duration.momentjs}}","['sanders', 'right', 'views', 'universal', 'todd', 'believes', 'videodurationmomentjs', 'systems', 'healthcare', 'scandinavian', 'supporting']"
msnbc,2016-02-22 12:37:00,Supreme Court holds first session after Justice Scalia's death,['Pete Williams'],"Chief Justice John Roberts began Mondays Supreme Court session  the first since Antonin Scalias death  with a tribute.

Roberts noted that the black drapery on Scalias chair and his spot on the bench signifies a period of mourning the loss of our friend and colleague. The seat will remain draped for roughly the next month.

It was a somber and emotional return to business for the court which is expected to hear 10 cases over the next two weeks, including a challenge to restrictions on Texas abortion clinics on March 2. Scalias unexpected death earlier this month brought the future of the courts ideological makeup into sharp relief as a partisan showdown over his replacement on the bench looms.

Monday, however, was a day of reflection for the court.

His love of knowledge drew him to academia, and then into life in the law, Roberts said.

Roberts noted  to laughter in the courtroom  that Scalia argued his first and only case before the Supreme Court in 1976. He prevailed, establishing a perfect record before this court.

Scalia was the 103 justice on the court and wrote 292 majority opinions.

He was also known on occasion to dissent, Roberts joked.

When President Barack Obamas Afforable Care Act was upheld by the Supreme Court in 2015, Scalia struck back at the majoritys ruling as pure applesauce and interpretive jiggery-pokery.

Roberts called Scalia, Our man for all seasons, and we will miss him beyond measure.

The black drapery at Scalias spot on the bench will remain for 30 days. After that, the justices will shift around to establish the new order of seniority, with Anthony Kennedy as the senior associate justice.

A spot will remain open at the end of the bench for the next justice to occupy, once nominated and confirmed.

This article first appeared on NBCNews.com.","['supreme', 'death', 'court', 'justice', 'scalias', 'holds', 'spot', 'bench', 'roberts', 'remain', 'session', 'scalia', 'noted']"
