Source,Date,Title,Authors,Text,Keywords
bbc,,Business live: Pound slides; FTSE rises,[],"We use JavaScript to ensure we can give you the best experience on our website. JavaScript is not supported in your browser. For a better experience, enable JavaScript or redirect to the No JavaScript version of the page.","['website', 'redirect', 'ftse', 'pound', 'version', 'business', 'supported', 'experience', 'slides', 'live', 'enable', 'ensure', 'javascript', 'rises', 'page', 'browser']"
bbc,,BBC News,"['Defence Diplomatic Correspondent', 'Phil Coomes', 'Picture Editor', 'Jonathan Marcus']","Kalamazoo killings baffle US police

Authorities in the US state of Michigan search for a motive after a taxi driver went on a random shooting spree on Saturday, killing six people.","['taxi', 'search', 'policeauthorities', 'michigan', 'random', 'bbc', 'motive', 'state', 'went', 'shooting', 'spree']"
bbc,2016-02-16 13:53:52+00:00,Do fish have feelings? Maybe ...,['Sonia Rey Planellas'],"The question of whether animals other than humans can think and feel has been debated for centuries. Most of us would agree that humans have a level of consciousness, loosely defined as an ability to experience thoughts and emotions. But which other creatures have consciousness remains an open and controversial question.

We can also ask whether there are different degrees of consciousness and whether the experiences of other organisms are similar to our own. Many may think that dolphins and deer have the ability to feel emotions, but what about a fish, a bug or a plant? Which brings us to another key question for scientists: how do we figure out if animals or plants feel? My colleagues and I recently carried out research that looks at one way of answering this question, and found that fish appear more likely to experience emotions that we previously thought.

Scientists have used many different criteria to argue for or against the proposition that non-human animals have the capacity for emotions and consciousness. Those arguing that fish, for example, do not have this capacity point out that their brains are relatively small and simple, and lack the cerebral cortex that mediates much high-level information processing in mammals. They say that fish show little capacity for learning and memory and have a very simple behavioural repertoire. According to this view, the responses fish give to adverse circumstances might be more than just uncontrollable reflexes but are still very simple and have little or no emotional content.

School of thought

Others are strongly against the idea that fish cannot have emotion or consciousness  and for a variety of reasons. For example, the fish brain is small and organised differently from that of mammals. But it also has structures with the same evolutionary origin as parts of the mammal brain we know play key role in generating emotions (the amygdala) and supporting learning (the hippocampus). If these areas are damaged we see similar behavioural effects in fish and mammals, suggesting they serve a similar function.

Theres also a huge amount of research that clearly shows fish have impressive learning capacities and use these to support a whole range of sophisticated behaviours. Many species of fish can perform complicated feats of navigation by remembering mental maps. Others can work out how likely they are to win fights with other fish by observing and remembering potential rivals previous battles. And some even make and use tools such as an anvil for cracking open bivalve mollusc shells.

Shutterstock

We also now know that fish can perceive and respond to noxious stimuli like chemicals like acetic acid, for example, that also cause pain in mammals. This includes things that go far beyond simple reflexes, such as shifts in mental state.

One particular trait used to identify consciousness, which was previously thought to be absent in fish, is the capacity for stress-induced hyperthermia or emotional fever. This is a physical reaction similar to a fever caused by infection, but in this case the trigger is a stressful situation. Basically, the body gets warmer in response to stress.

Until recently, it was thought that, among vertebrate animals, only the amniotes (mammals, birds, and reptiles) displayed emotional fever and so have the capacity for consciousness. This view was based on previous studies suggesting that toads and goldfish didnt show such fever.

Zebrafish test

But by studying zebrafish exposed to a stressful situation  confining them on their own in a small net in the centre of the experimental tank  my colleagues and I were able to prove otherwise. Because fish are ectotherms, or cold-blooded animals, they need to move to an environment with a temperature that matches their internal physiological state. So after a stressful situation, youd expect them to move into warmer water.

After 15 minutes in the net, the confined fish were released to freely swim among the tanks other chambers, each of which was heated to a different temperature. The stressed fish spent markedly more time in the warmer waters than another group of fish that had not been exposed to a stressful situation, in a way that suggested their body temperatures had risen by between 2C and 4C  and that emotional fever was the cause.

The fact that some fish can undergo emotional fever doesnt prove fish in general are conscious beings. But it does mean those who believe fish dont have feelings can no longer use their supposed lack of emotional fever as an argument. And it adds to the emerging picture of fish as complex animals that may well be sentient and conscious, to some extent at least. Most importantly, this could affect how we understand the evolution of emotions and consciousness in vertebrate animals, not to mention our arguments for protecting the welfare of fish.","['fever', 'animals', 'capacity', 'consciousness', 'maybe', 'fish', 'emotions', 'feelings', 'mammals', 'emotional', 'stressful', 'situation']"
bbc,2016-02-16 00:00:00,Museveni yamaganye abanenga amatora,[],,"['amatora', 'yamaganye', 'museveni', 'abanenga']"
bbc,2013-12-06 00:00:00,How well do you know the world? Play Geoguessr to find out!,[],Think you're a geography expert? Test your knowledge with BBC Travels Geoguessr  the game that proves how well you know the world!,"['geoguessr', 'play', 'knowledge', 'youre', 'travels', 'proves', 'know', 'test', 'world', 'think', 'geography']"
bbc,2016-02-16 00:00:00,          ,[],,[]
bbc,2015-03-11 00:00:00,Can Canada teach the rest of us to be nicer?,['Eric Weiner'],"Every August my family embarks on that great American ritual: the road trip. And we always head north. Canada may not be the most exotic of destinations, but sometimes, exotic is overrated. Canada tempts us with familiarity, blissfully cool weather and, most of all, a deep reservoir of niceness.

We experience Canadian nice as soon as we reach customs. The US border guards are gruff and all business. The Canadians, by contrast, are unfailingly polite, even as they grill us about the number of wine bottles were bringing into the country. One year, we had failed to notice that our 9-year-old daughters passport had expired. They, nicely, let us enter anyway. The niceness continues for our entire trip, as we encounter nice waiters, nice hotel clerks, nice strangers.

Canadian niceness is pure, and untainted by the passive-aggressive undertones found in American niceness (have a good day, or else!). Its also abundant. Canada is to niceness as Saudi Arabia is to oil. Its awash in the stuff, and its about time, I say, the rest of the world imported some. (France, Russia and the UK topped one recent list of rude countries as perceived by travellers.) Researchers have yet to analyse Canadian niceness empirically, but studies have found that Canadians, perhaps in an effort not to offend, use an overabundance of hedge words, such as could be and not bad. Then there is the most coveted of Canadian words: sorry. Canadians will apologize for anything and to anything.

I've apologized to a tree that I walked into, confessed Michael Valpy, a journalist and author, noting that many of his fellow citizens have done the same.

Traffic in Toronto and Montreal may be awful, but you almost never hear a horn, even in the most frustrating traffic jams, said Jeffrey Dvorkin, a Canadian journalism professor at the University of Toronto. Horn-honking is regarded as unnecessarily aggressive. And murder rates in Canada are low, he said, partly because its quite rude to murder someone.

The Canadian press is rife with examples of niceness in action. For instance, the National Post reported that in Edmonton, a law student, Derek Murray, left his headlights on all day. When he returned to his car, he found the battery drained and a note on his windshield. I noticed you left your lights on, it read. The battery will probably not have enough charge to start your vehicle. I left a blue extension cord on the fence and ... a battery charger beside the fence in the cardboard box. The note went on to explain exactly how to jump-start the vehicle. Good luck, it added. In Ontario, a thief returned the goods he or she stole with $50 attached to a letter of apology. ""I can't put it into words how sorry I am,"" the thief explained. ""Please find it in your hearts to forgive the stranger who harmed you.""

Canadians arent only polite; theyre incredibly humble too, and reluctant to take credit for even plainly heroic acts. When a gunman attacked the Canadian parliament building in October 2014, Kevin Vickers, Canadas sergeant-at-arms, responded quickly and calmly by shooting the assailant with the handgun he keeps in his office.And while Vickers was glorified in the Canadian media, it was his humility, not his marksmanship or bravado, that was celebrated. (Canadians take great pride in their humility, an oxymoron that bothers no one.)

What explains this blizzard of humility and politeness? Taras Grescoe, a Montreal-based writer, believes Canadian niceness is born of necessity. We're a small group of people, spread across the second-largest national territory in the world, he said. We've always known that, in order to survive  or just stay sane  we had to watch out for one another. The old lady down the street, the teenager at the bus stop who forgot to bring a scarf when it's 5 below. Hence our general willingness to proffer assistance rather than aggression.""

Another explanation for Canadian niceness stems from the fragment theory. First posited by the US scholar Louis Hartz, the theory states that colonial societies such as the United States and Canada began as fragments of the European nations they were escaping from. These new nations remain, in effect, frozen in time. Thus, Canada retains a conservative, Tory streak  that is, with a more deferential, nicer nature than the one embraced by the feisty US founding fathers.

Not everyone believes this is a good thing. Valpy sees Canadian niceness as a defence mechanism, one that stems from inferiority and an awkward awareness that our clothes don't fit properly and we always have bad haircuts and really don't do anything great.

Also, in the land of nice, problems sometimes fester because everyone is too nice to say anything. Manjushree Thapa, a writer who recently moved to Canada from Nepal, recalls sitting in a movie theatre when the screen grew dimmer and dimmer as the projection bulb slowly burned out. The screen was almost black but no one spoke up. Exasperated, she finally prodded her Canadian partner to alert the management, which he did, reluctantly. Niceness can silence people here, she said.

Overall, though, shell take nice any day. And so will I. Life is hard enough, with plenty of jagged edges and pointy bits. Why not coat it with a glaze of politeness and humility? Politeness, at its best, is a way of honouring others, especially strangers. Politeness is the lubricant that makes social interactions run smoothly and reduces the risk of conflagrations. The world, I think, would be a better place if we were all a bit more Canadian.

Fortunately, Canadian niceness is contagious. On my annual northern migration, I find myself slowing down, saying thank you and please more often that I usually do. Maybe I go too far and cross the line from polite to unctuous. If I do, I can only say, in true Canadian fashion, Im sorry.

Eric Weiner is a recovering malcontent and philosophical traveler. He is the author of, among other books, The Geography of Bliss and the forthcoming The Geography of Genius. Follow him on Twitter.","['canada', 'nicer', 'canadian', 'niceness', 'canadians', 'rest', 'say', 'words', 'humility', 'politeness', 'world', 'teach', 'nice']"
bbc,2016-02-16 00:00:00,      ,[],,[]
bbc,2016-02-16 00:00:00, : Apple  !,[],,['apple']
bbc,2016-02-16 00:00:00,       ,[],,[]
