2016-01-19 23:30:30,"I love you, giraffe. https://t.co/G8iKcFYnBg"
2016-01-15 03:05:10,"No human can resist the head tilt, RT if you agree! https://t.co/q2p6MN9F98"
2016-01-10 19:05:24,"RT @EmrgencyKittens: Keep quiet, she is sleeping https://t.co/80A3pG2da1"
2016-01-10 00:05:18,"RT @ColeTheBlackCat: He was so cute and fluffy, look at those little paws! :)
2015-12-28 04:10:27,"I'm just going to take a little sip, k? https://t.co/qvuayziJ55"
2015-12-22 00:00:48,"Big or little, any box will do! https://t.co/cl0Zc80BZG"
2015-09-10 06:01:49,"Rescue kitten Haus the Boss, apparently in heaven... --- Sharon http://t.co/s926WVZkqp"
2015-09-10 00:02:14,"My handsome boy Tristan, enjoying the summer air. --- Nancy http://t.co/F0cArawYwM"
2015-09-09 19:03:09,"Haley &amp; Bailey, sister (left) and brother. About 9 or 10 years old. Rescues. - Steve http://t.co/3dcbq6QeFJ"
2015-09-09 14:02:54,"My daughter's cat, Lily...Love the sign! --- Jeanie http://t.co/F6B8irFm35"
2015-09-01 01:00:45,"""What thou has lost, Heaven has in store."" &gt;&gt;&gt;http://t.co/OZ8Ve57s61 http://t.co/SPnMGPRF9J"
2015-08-31 20:18:49,"If you lead, I will follow. &lt;3 &gt;&gt;&gt; http://t.co/tZdrR8qPxG http://t.co/icoEaaUYji"
2015-08-29 11:01:25,"Once we read her story, we knew she was The One. &gt;&gt;&gt;&gt;&gt;http://t.co/sIw2oZhaQA http://t.co/taxOe3ZJq3"
2015-08-28 18:01:22,"And for a moment, everything is right in this world. &lt;3 
2015-08-19 06:01:28,"This is Timmy, the stray that came in from the cold.. --- Anthony http://t.co/xJj6ToClqz"
2015-08-19 01:02:11,"You don't ask for much, just a little quality downtime. &gt;&gt;&gt;http://t.co/t73rWgG24b http://t.co/MPkSMrPwbA"
2015-08-11 00:01:45,"What a cutie, Sara! http://t.co/VOaxjgcWXS"
2015-08-06 13:33:32,"Kids, Rescued Puppies, &amp; Schools: Everybody Wins! &gt;&gt;&gt;http://t.co/HUPHl9cqoX http://t.co/r1ZeDNrL8m"
2015-08-06 04:01:20,"Clean, cool sterling silver and a winged purple paw of Swarovski crystals  &gt;&gt;&gt;http://t.co/BnHQfX8PZG http://t.co/Imaeg8CkZq"
2015-08-05 23:02:13,"I Love My Tripod Dog, But I Wish I Had Known This Before Adopting Him. &gt;&gt;&gt;http://t.co/FPlu0I6s3t http://t.co/0KAkBGKTxR"
2015-08-04 07:02:14,"If You Need A Good Laugh, You Found The Perfect Inspiration Right Here! &gt;&gt;&gt;http://t.co/FiSnZzRH81 http://t.co/zTeG2vtZvz"
2015-08-03 21:02:48,"The screaming from the cellar at first was loud, then slowly weaker... 
2015-08-03 17:03:42,"#mondayagain True that, Jazmine... True that... http://t.co/LSVHOPLgUi"
2015-08-03 16:04:31,"Purple paws, gleaming hearts, and a whole lot of shine make this playful bracelet a winner. &gt;&gt;http://t.co/RQVJD0An0q http://t.co/fF8HGIa8I4"
2015-08-03 15:03:31,"This sweet, patient dog has a tiny kitty visitor. &gt;&gt;http://t.co/YoviVRcJa5 http://t.co/FLEuatPSIK"
2015-08-03 09:02:19,"Cats Love To Hide, But What Happens When Their Hiding Place Is Too Good? &gt;&gt;&gt;&gt;http://t.co/ugBF5ERbCO http://t.co/yEcVJOJRw3"
2015-08-03 05:01:26,"Most Commonly Found in Shelters, This Dog Breed Is The Healthiest Around &gt;&gt;&gt;http://t.co/eTkMLCI0S2 http://t.co/xNdxEouReC"
2015-08-03 02:01:31,"She Never Deserved This, But We Can Give Her A Second Chance!
2015-08-02 23:02:18,"Abby first showed up in my mom's backyard with a fractured hip, dirty, and scared.
2015-08-02 21:02:31,"A Rescued Pup, That Suffered Major Injuries, Is Now A Bubble Popping Machine! &gt;&gt;http://t.co/rFRoeEi7Xj http://t.co/ZzJAs5eSz4"
2015-08-02 12:02:12,"Now, This Is Just Adorable! &gt;&gt;&gt;http://t.co/zCDXwTd2zP http://t.co/qq8ozRaQ7O"
2015-08-02 07:01:48,"You’ll love this, trust me! &gt;&gt;&gt;http://t.co/mMyQsLC7bD http://t.co/DRO75OmYAa"
2015-08-02 02:01:49,"So adorable, Brian :) http://t.co/ZbiCJGkU2X"
2015-08-02 01:02:06,"A shining expression of love for your dog, made in the U.S.A. &gt;&gt;&gt;http://t.co/DXMDLUzKFE http://t.co/BKHgXeaWvu"
2015-08-01 17:02:48,"Kubota just received his IKEA catalog in the mail, and now he is shopping for a new cat bed! - Mary http://t.co/tByABrnOzg"
